OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324689"",""RFA-FD-21-001"")",Clinical Studies of Orphan Products Addressing Unmet Needs of Rare Diseases (R01) Clinical Trials Required,HHS-FDA,Food and Drug Administration,,8,"Daniel Lukash
Grants Management Specialist
Phone 240-402-7596",,daniel.lukash@fda.hhs.gov,,,02/21/2020,10/05/2021,02/21/2020 09:47:21,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324717"",""BJA-2020-17023"")","BJA FY 20 Comprehensive Opioid, Stimulant, and Substance Abuse Site-based Program (COSSAP)",USDOJ-OJP-BJA,Bureau of Justice Assistance,156000000,120,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 800-518-4726 or 606-545-5035, or via email to support@grants.gov. The Grants.gov Support Hotline operates 24 hours a day, 7 days a week, except on federal holidays. 
An applicant that experiences unforeseen Grants.gov technical issues beyond its control that prevent it from submitting its application by the deadline must email the contact identified below within 24 hours after the application deadline in order to request approval to submit its application after the deadline. Additional information on reporting technical issues appears under Experiencing Unforeseen Grants.gov Technical Issues in the How to Apply section. 
For assistance with any unforeseen Grants.gov technical issues beyond an applicants control that prevent it from submitting its application by the deadline, or any other requirement of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 800-851-3420; via TTY at 301-240-6310 (hearing impaired only); email grants@ncjrs.gov; fax to 301-240-5830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date.

support@grants.gov",,support@grants.gov,,,02/21/2020,05/21/2020,02/21/2020 14:19:21,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324716"",""L20AS00010"")","Department of the Interior, Bureau of Land Management Utah Wildlife Resource Management",DOI-BLM,Bureau of Land Management,250000,5,"Grants Management Officer Melanie Beckstead (801) 5394169
mbeckstead@blm.gov",,mbeckstead@blm.gov,,,02/21/2020,06/01/2020,02/28/2020 12:11:28,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324720"",""CMS-1W1-20-001"")",Minority Research Grant Program,HHS-CMS,Centers for Medicare & Medicaid Services,500000,2,"Grants.gov Contact Center
Phone Number: 1-800-518-4726

Hours of operation are 24 hours a day, 7 days a week. The contact center is closed on federal holidays.
support@grants.gov",,support@grants.gov,,,02/21/2020,06/02/2020,03/05/2020 12:47:05,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324688"",""F20AS00060"")",Great Lakes Restoration Initiative Joint Venture Habitat Restoration and Protection,DOI-FWS,Fish and Wildlife Service,800000,0,"Shelley Dibona 413 2538509
shelley_dibona@fws.gov",,shelley_dibona@fws.gov,,,02/21/2020,05/29/2020,04/01/2020 06:59:01,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324686"",""PAS-SURABAYA-FY20-01"")",U.S. Consulate General Surabaya PAS Annual program Statement,DOS-IDN,U.S. Mission to Indonesia,70000,,"PAS Surabaya
Grantor",62312975300,passurabaya@state.gov,,07/31/2020,02/21/2020,,05/12/2020 04:42:12,Forecast 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324439"",""W911NF20S0003"")",Staff Research Program,DOD-AMC,Dept of the Army -- Materiel Command,,,"William A Creech
Grants/Contracting Officer
Phone 9195494387",,william.a.creech3.civ@mail.mil,,,02/20/2020,02/19/2025,02/13/2020 09:30:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324694"",""F20AS00059"")","Great Lakes Restoration, Partners for Fish and Wildlife Program 2020",DOI-FWS,Fish and Wildlife Service,500000,40,"Jim Hazelman 517-351-6235
jim_hazelman@fws.gov",,jim_hazelman@fws.gov,,,02/20/2020,09/20/2020,02/20/2020 13:01:20,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324668"",""20-548"")",Signals in the Soil,NSF,National Science Foundation,13000000,10,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,02/20/2020,05/20/2020,02/20/2020 01:00:20,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324669"",""20-547"")",Human-Environment and Geographical Sciences Program,NSF,National Science Foundation,6000000,40,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,02/20/2020,08/18/2020,02/20/2020 01:00:20,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324682"",""PAR-20-115"")",Limited Competition: Centers of Biomedical Research Excellence (COBRE) Phase III - Transitional Centers (P30 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/20/2020,05/27/2022,02/20/2020 12:10:20,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324630"",""7200AA19APS00007-ADDENDUM03-USAID-WA"")","CALL FOR LOCALLY LED DEVELOPMENT CONCEPTS ON BUILDING EFFECTIVE, RELIABLE, AND SUSTAINABLE PRIVATE SECTOR ASSOCIATIONS IN WEST AFRICA",USAID-GHA,Ghana USAID-Accra,,3,"Nana P Derby
A and A Specialist
Phone 00233302741948",,nderby@usaid.gov,,,02/20/2020,08/03/2020,04/09/2020 11:01:09,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324680"",""EPA-OW-OGWDW-19-01"")",Reduction in Lead Exposure Via Drinking Water,EPA,Environmental Protection Agency,39900000,15,"Brianna Knoppow, WIINDrinkingWaterGrants@epa.gov",,WIINDrinkingWaterGrants@epa.gov,,,02/20/2020,06/01/2020,05/04/2020 13:40:04,Synopsis 6,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324656"",""CDC-RFA-OT20-2002"")",Preventive Health and Health Services Block Grant– 2020,HHS-CDC-OSTLTS,Centers for Disease Control - OSTLTS,149098135,65,"Shirley Byrd, Grants Management Officer
Centers for Disease Control and Prevention
Office of Financial Resources
Koger Bldg, Vanderbuilt, Rm 2040 MS TV-2
Atlanta, Ga 30341
Telephone: 770-488-2591
Email: yuo6@cdc.gov",,yuo6@cdc.gov,,,02/19/2020,05/19/2020,02/19/2020 09:32:19,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324632"",""RFA-AI-20-021"")",Vaccine and Treatment Evaluation Units (VTEUs): Enhancing Capability and Capacity (UM1  Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/19/2020,07/14/2020,04/14/2020 09:42:14,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324664"",""RFA-DA-20-028"")",Implementing the HIV Service Cascade for Justice-Involved Populations (U01 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/19/2020,11/13/2020,04/28/2020 10:19:28,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324675"",""SFOP0006481"")",Countering Wildlife Trafficking in Sub-Saharan Africa,DOS-INL,Bureau of International Narcotics-Law Enforcement,9750000,15,wildlife@state.gov and WashingtonND@state.gov,,washingtonnd@state.gov,,,02/19/2020,06/05/2020,05/04/2020 17:22:04,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324619"",""DE-FOA-0002254"")",Research to Enable Fuels From Sunlight,PAMS-SC,Office of Science,,2,"Warren Riley
Contracting Officer
Phone: 630-252-2485",,warren.riley@science.doe.gov,,,02/19/2020,05/27/2020,05/15/2020 17:07:15,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324636"",""HHS-2020-ACF-OFA-ZB-1817"")","Family, Relationship, and Marriage Education Works - Adults (FRAMEWorks)",HHS-ACF-OFA,Administration for Children and Families - OFA,36037000,41,Jacqueline Proctor,(202) 205-9481,jacqueline.proctor@acf.hhs.gov,03/23/2020,05/22/2020,02/18/2020,,02/18/2020 08:42:18,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324635"",""HHS-2020-ACF-OFA-ZJ-1846"")","Fatherhood - Family-focused, Interconnected, Resilient, and Essential (FIRE)",HHS-ACF-OFA,Administration for Children and Families - OFA,60061000,68,Tanya R. Howell,(202) 205-8714,Tanya.Howell@acf.hhs.gov,03/23/2020,05/22/2020,02/18/2020,,02/18/2020 08:42:18,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324637"",""HHS-2020-ACF-OFA-ZD-1838"")","Relationships, Education, Advancement, and Development for Youth for Life (READY4Life)",HHS-ACF-OFA,Administration for Children and Families - OFA,24000000,27,Meghan Heffron,(202) 401-6619,meghan.heffron@acf.hhs.gov,03/23/2020,05/22/2020,02/18/2020,,02/18/2020 08:42:18,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324643"",""PAR-20-113"")",Shared Instrumentation Grant (SIG) Program (S10 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/18/2020,06/01/2020,02/18/2020 12:04:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324618"",""PAR-20-112"")",Shared Instrumentation for Animal Research (SIFAR) Grant Program (S10 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/18/2020,06/01/2020,02/18/2020 12:05:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324644"",""PAR-20-114"")",High-End Instrumentation (HEI) Grant Program (S10 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/18/2020,06/01/2020,02/18/2020 12:05:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324653"",""F20AS00057"")",National Coastal Wetlands Conservation Grant Program,DOI-FWS,Fish and Wildlife Service,22000000,25,"Biologist/Grants Paul VanRyzin 7033581849
paul_vanryzin@fws.gov",,paul_vanryzin@fws.gov,,,02/18/2020,06/26/2020,02/18/2020 15:03:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324616"",""RFA-GM-20-001"")","Training Modules to Enhance the Rigor, Reproducibility and Responsible Conduct of Biomedical Data Science Research (R25 - Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/18/2020,06/19/2020,02/18/2020 10:48:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324651"",""RFA-AG-21-015"")","Network for Identification, Evaluation, and Tracking of Older Persons with Superior Cognitive Performance for Their Chronological Age (U19 Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/18/2020,10/01/2020,02/18/2020 14:15:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324623"",""RFA-AG-21-013"")",Prodromal Synucleinopathies Consortium (U19 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/18/2020,06/17/2020,03/05/2020 08:25:05,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324624"",""CDC-RFA-CE20-2003"")",Drug Free Communities (DFC) Support Program – Competing Continuation,HHS-CDC-NCIPC,Centers for Disease Control - NCIPC,125000000,200,"Stephanie Latham
Lead Grants Management Officer 
DFC@cdc.gov",,DFC@cdc.gov,,,02/18/2020,06/08/2020,03/27/2020 11:54:27,Synopsis 10,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324650"",""CDC-RFA-CE20-2002"")",Drug-Free Communities (DFC) Support Program-New,HHS-CDC-NCIPC,Centers for Disease Control - NCIPC,125000000,200,"Stephanie Latham 
Lead Grants Management Officer 
DFC@cdc.gov",,DFC@cdc.gov,,,02/18/2020,06/08/2020,03/27/2020 11:41:27,Synopsis 7,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324627"",""DTOS59-20-RA-BUILD"")",FY 2020 National Infrastructure Investments,DOT,Department of Transportation,1000000000,,"Shira Bergstein
Program Manager",,shira.bergstein@dot.gov,,,02/18/2020,05/18/2020,04/24/2020 17:18:24,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324639"",""RFA-FD-20-027"")",Integrated Pathogen Reduction Technologies for whole blood and blood components for transfusion (R01) Clinical Trial Not Allowed,HHS-FDA,Food and Drug Administration,,5,"Gordana Zuber
Grant Management Specialist
Phone 301-348-1747",,gordana.zuber@fda.hhs.gov,,,02/18/2020,05/26/2020,04/27/2020 17:48:27,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324652"",""693JF7-20-BAA-0001"")",Port Infrastructure Development Grants,DOT-MA,Maritime Administration,225000000,,"Robert Bouchard
Director, Office of Port Infrastructure Development
Phone 202-366-5076",,Ports@dot.gov,,,02/18/2020,05/18/2020,05/01/2020 14:11:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324593"",""HR001120S0035"")",Habitus,DOD-DARPA-DSO,DARPA - Defense Sciences Office,,,"BAA Coordinator
Habitus@darpa.mil",,Habitus@darpa.mil,,,02/17/2020,08/17/2020,02/20/2020 14:18:20,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324507"",""NNH20ZDA001N-HTIDS"")",ROSES 2020: Heliophysics Technology and Instrument Development for Science,NASA-HQ,NASA Headquarters,,,"Roshanak Hakimzadeh
Heliophysics Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-0784
Email: hakimzadeh@nasa.gov",,hakimzadeh@nasa.gov,,,02/14/2020,08/26/2020,02/14/2020 10:24:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324490"",""HHS-2020-IHS-TSGP-0001"")",Office of Tribal Self-Governance Planning Cooperative Agreement,HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 10:24:14,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324547"",""PA-20-069"")",Encourage Innovative Digital Healthcare Research at the Point of Care,HHS-AHRQ,Agency for Health Care Research and Quality,,3,"Derrick Wyatt, MSN, RN-BC, CPHIMS",301-427-1171,Derrick.wyatt@ahrq.hhs.gov,,,02/14/2020,,02/14/2020 14:51:14,Forecast 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324538"",""HHS-2021-IHS-YRTC-0001"")",Youth Regional Treatment Center Aftercare Program,HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 11:32:14,Forecast 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324527"",""NNH20ZDA001N-ECF"")",ROSES 2020: Early Career Fellowship Start-Up Program for Named Fellows,NASA-HQ,NASA Headquarters,,,"Shoshana Weider
Planetary Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-1667
Email: shoshana.z.weider@nasa.gov",,shoshana.z.weider@nasa.gov,,,02/14/2020,03/29/2021,02/14/2020 11:32:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324515"",""NNH20ZDA001N-NFDAP"")",ROSES 2020: New Frontiers Data Analysis,NASA-HQ,NASA Headquarters,,,"Henry Throop
Planetary Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Email: HQ-NFDAP@mail.nasa.gov
(preferred)
Email: henry.throop@nasa.gov
Telephone: (202) 358-3709",,HQ-NFDAP@mail.nasa.gov,,,02/14/2020,07/09/2020,02/14/2020 11:51:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324536"",""NNH20ZDA001N-APRA"")",ROSES 2020: Astrophysics Research and Analysis,NASA-HQ,NASA Headquarters,,,"Dominic J. Benford
Astrophysics Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-1261
Email: Dominic.Benford@nasa.gov",,Dominic.Benford@nasa.gov,,,02/14/2020,12/17/2020,02/14/2020 11:47:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324543"",""NNH20ZDA001N-TWSC"")","ROSES 2020:Topical Workshops, Symposia, and Conferences",NASA-HQ,NASA Headquarters,,,"Mary F. Sladek
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-0861
Email: mary.f.sladek@nasa.gov",,mary.f.sladek@nasa.gov,,,02/14/2020,03/29/2021,02/14/2020 11:34:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324502"",""HHS-2020-IHS-TDCP-0001"")",Dental Preventive Clinical Support Program,HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 11:35:14,Forecast 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324526"",""NNH20ZDA001N-PSPGI"")",ROSES 2020: Parker Solar Probe Guest Investigators,NASA-HQ,NASA Headquarters,,,"Arik Posner
Heliophysics Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-0727
Email: arik.posner@nasa.gov",,arik.posner@nasa.gov,,,02/14/2020,01/20/2021,02/14/2020 11:55:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324544"",""NNH20ZDA001N-GIGI"")",ROSES 2020: GOLD-ICON Guest Investigators,NASA-HQ,NASA Headquarters,,,"Jeff Morrill
Heliophysics Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-3744
Email: jeff.s.morrill@nasa.gov",,jeff.s.morrill@nasa.gov,,,02/14/2020,02/17/2021,02/14/2020 11:36:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324522"",""NNH20ZDA001N-DDAP"")",ROSES 2020: Discovery Data Analysis,NASA-HQ,NASA Headquarters,,,"Thomas S. Statler
Planetary Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Email: thomas.s.statler@nasa.gov
Telephone: 202-358-0272",,thomas.s.statler@nasa.gov,,,02/14/2020,08/28/2020,02/14/2020 11:05:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324509"",""NNH20ZDA001N-OSTST"")",ROSES 2020: Ocean Surface Topography Science Team,NASA-HQ,NASA Headquarters,,,"Nadya Vinogradova Shiffer
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Phone: (202) 358-0976
Email: nadya@nasa.gov
Eric Leuliette
NESDIS/STAR Laboratory for Satellite
Altimetry
NOAA Center for Weather & Climate
Prediction E/RA3
5830 University Research Court
College Park, MD 20740
Phone: (301) 683-3380
Email: Eric.Leuliette@noaa.gov",,nadya@nasa.gov,,,02/14/2020,10/08/2020,02/14/2020 10:43:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324511"",""NNH20ZDA001N-PSTAR"")",ROSES 2020: Planetary Science and Technology Through Analog Research,NASA-HQ,NASA Headquarters,,,"Sarah Noble
Telephone: (202) 358-2492
Email: sarah.noble-1@nasa.gov
Mary Voytek
Telephone: (202) 358-1588
Email: mary.voytek-1@nasa.gov",,sarah.noble-1@nasa.gov,,,02/14/2020,08/14/2020,02/14/2020 11:00:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324508"",""NNH20ZDA001N-CYGNSS"")",ROSES 2020: CYGNSS Competed Science Team,NASA-HQ,NASA Headquarters,,,"Gail Skofronick-Jackson
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: 202-358-2045
Email: gail.s.jackson@nasa.gov",,gail.s.jackson@nasa.gov,,,02/14/2020,09/18/2020,02/14/2020 10:36:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324512"",""NNH20ZDA001N-THP"")",ROSES 2020: Terrestrial Hydrology,NASA-HQ,NASA Headquarters,,,"Jared Entin
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: 202-358-0275
Email: jared.k.entin@nasa.gov",,jared.k.entin@nasa.gov,,,02/14/2020,11/18/2020,02/14/2020 11:07:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324516"",""NNH20ZDA001N-ACCDAM"")",ROSES 2020: Atmospheric Composition Campaign Data Analysis and Modeling,NASA-HQ,NASA Headquarters,,,"Richard Eckman - ACMAP
Telephone: 202-358-2567
Email: richard.s.eckman@nasa.gov
Barry Lefer - TCP
Telephone: 202-358-3857
Email: barry.lefer@nasa.gov
Hal Maring - RSP
Telephone: 202-358-1679
Email: hal.maring@nasa.gov",,Richard.S.Eckman@nasa.gov,,,02/14/2020,09/18/2020,02/14/2020 10:34:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324517"",""HHS-2020-IHS-TDM-0001"")",Tribal Management Grant Program,HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 10:49:14,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324519"",""NNH20ZDA001N-CMS"")",ROSES 2020: Carbon Monitoring System,NASA-HQ,NASA Headquarters,,,"Kathy A. Hibbard
Telephone: (202) 358-0682
Email: Kathleen.A.Hibbard@nasa.gov
Kenneth W. Jucks
Telephone: 202-358-0476
Email: Kenneth.W.Jucks@nasa.gov
Laura Lorenzoni
Telephone: 202-358-0917
Email: laura.lorenzoni@nasa.gov
Hank A. Margolis
Telephone: (202) 358-4760
Email: Hank.A.Margolis@nasa.gov",,Kathleen.A.Hibbard@nasa.gov,,,02/14/2020,10/16/2020,02/14/2020 11:02:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324518"",""HHS-2020-IHS-UIHP3-0001"")",National Urban Indian Behavioral Health Awareness,HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 10:59:14,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324456"",""20-544"")",Expeditions in Computing,NSF,National Science Foundation,60000000,4,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,02/14/2020,02/16/2021,02/14/2020 01:00:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324479"",""HHS-2020-IHS-COIPP-0001"")",Community Opioid Intervention Pilot Project,HHS-IHS,Indian Health Service,9000000,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 09:11:14,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324494"",""NNH20ZDA001N-GEDI"")",ROSES 2020: Global Ecosystem Dynamics Investigation (GEDI) Science Team,NASA-HQ,NASA Headquarters,,,"Hank Margolis, Program Manager
NASA Terrestrial Ecology Program
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-4760
Email: Hank.A.Margolis@nasa.gov",,Hank.A.Margolis@nasa.gov,,,02/14/2020,06/16/2020,02/14/2020 09:38:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324492"",""NNH20ZDA001N-ECOF"")",ROSES 2020: Ecological Forecasting,NASA-HQ,NASA Headquarters,,,"Woody Turner
Applied Sciences Program
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-1662
Email: woody.turner@nasa.gov",,woody.turner@nasa.gov,,,02/14/2020,08/14/2020,02/14/2020 10:21:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324501"",""NNH20ZDA001N-CRYO"")",ROSES 2020: Cryospheric Science,NASA-HQ,NASA Headquarters,,,"Thorsten Markus
Earth Science Division
Science Mission Directorate
National Aeronautics and Astronautics
Administration
NASA Headquarters
Washington, DC 20546
Telephone: (202) 358-3860
Email: thorsten.markus@nasa.gov",,thorsten.markus@nasa.gov,,,02/14/2020,06/30/2020,02/14/2020 10:04:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324472"",""NNH20ZDA001N-ESI"")",ROSES 2020: Earth Surface and Interior,NASA-HQ,NASA Headquarters,,,"Benjamin R. Phillips
Earth Science Division
Science Mission Directorate
National Aeronautics and Space Administration
Washington, DC 20546-0001
Telephone: (202) 358-5693
Email: ben.phillips@nasa.gov",,ben.phillips@nasa.gov,,,02/14/2020,06/02/2020,02/14/2020 09:19:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324470"",""NNH20ZDA001N-LCLUC"")",ROSES 2020: Land Cover/ Land Use Change,NASA-HQ,NASA Headquarters,,,"Garik Gutman
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: 202-358-0276
Email: ggutman@nasa.gov",,ggutman@nasa.gov,,,02/14/2020,06/01/2020,02/14/2020 09:15:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324499"",""NNH20ZDA001N-PO"")",ROSES 2020: Physical Oceanography,NASA-HQ,NASA Headquarters,,,"Nadya Vinogradova Shiffer
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-0976
Email: nadya@nasa.gov",,nadya@nasa.gov,,,02/14/2020,06/25/2020,02/14/2020 09:57:14,Synopsis 1,
